Wall time,Step,Value
1539345706.8393,0,0.5556833148002625
1539345709.193086,1,0.7996666431427002
1539345711.526086,2,0.8557166457176208
1539345713.861889,3,0.8773166537284851
1539345716.398935,4,0.8905166387557983
